5840,Reciclaje Foraneo,a3UvJdKpWv47FEaLKwyZ6zTjw6dcCx,29/10/2014 03:13:33,/capsula1
4318,Reciclaje Estatal,3PvAFfcynqCRzUqeer8Hh4gF7Vh6w4,25/08/2014 21:26:25,/capsula2
3250,Reciclaje Escolar,vF7WJCbcLwTxRYhSrNSG4gvxJ9yJEt,28/05/2016 20:03:47,/capsula3
7340,Botes Inteligentes,D5DwvFxpSxwrBccdHYVYCwNACiLDRm,10/05/2016 09:10:41,/capsula4
6683,Reciclaje Para El Mundo,q6bkq3QUSDDG49pZxEwnWGxkuYQpyx,29/01/2013 14:11:36,/capsula5
7351,Reciclaje Ambiental,keQugy6mV47JYTaYFKM8KRjjVRpBiV,30/07/2014 04:46:33,/capsula6
9521,Reciclando Ando,y3FpCu9WAbkwDrZET5WgVegBJ6ZHdY,04/07/2013 02:12:23,/capsula7
2573,Como Reciclar Profesionalmente,cKGVZHgwy3zEcrdHbC6eUwvcZGYCWu,27/08/2015 18:25:45,/capsula8
4446,El Proceso Del Reciclaje,rcWaeJzYLBeCYkRwJdVSHdAmmjF74V,01/12/2015 10:08:38,/capsula9
6416,Huella Ecologica,2pPzibckdpKx6d4WmqSzHEdazYFxpJ,16/12/2017 21:01:08,/capsula10
7786,El Albedo En Dias Soleados,myR6fk9QKu4KMW5tuNZJAGRniuDkt6,01/10/2014 06:52:03,/capsula11
9306,Como Crear un Robot,76fWpNw4Gf78v5JarKNARCd3nyqQfA,05/07/2014 00:50:49,/capsula12
3023,Robots Ecologicos,ta98Q34W7Nf6ibhnf97kr5HQycGg6u,16/01/2013 02:17:57,/capsula13
8905,La evolucion del pet,XRkzGtZbC8NJHWdBXUfjRDPdZqpLzW,21/04/2012 09:46:09,/capsula14
2074,Formas De Reciclar en tu casa,wDLdGpm3dprRUT3S6nwDiFGBcXywhW,22/06/2014 20:27:16,/capsula15
6026,Cambio Ambiental,AYUKQ8TXTARUQ6S98iyFrFdy32g2Cg,16/10/2017 17:53:16,/capsula16
4187,Rescate Del Medio Ambiente,EuczPjFQK9GFVUUhfZE4ryjmPcyXin,28/12/2012 03:51:49,/capsula17
5067,Beneficios Del Reciclaje,GFHbaVPqTHMjqtnHTgiGXCYqzug8eQ,03/10/2016 15:55:16,/capsula18
4566,Como Reciclar Baterias,atR8hVRCy3cm6h7dXabANht6Ke6beS,17/03/2017 23:08:39,/capsula19
537,Pinturas Ecologicas,9vgqgv9Mv94LjStc9RweQPTSgFaa3P,29/10/2016 21:24:21,/capsula20
853,Desarrollo Ambiental y Social,6H46D2UBxdMnj54ndxVicYjBw4fEmB,16/11/2012 03:28:26,/capsula21
9986,Reciclar Objetos,fNCAybzVBjXhmH8cQLdtf7j8DfWemN,08/03/2016 09:42:18,/capsula22
2860,Capañas De Reciclaje,TBqQr9jfc27atEk9MzcWcp7RpAhUVz,04/01/2016 09:29:27,/capsula23
4657,Arte Reciclado,fB7dwgRecvFnkibZpiFXBZnDRAKYWB,05/02/2014 09:35:35,/capsula24
2861,Queretareciclaje,rchQhPCUDxXFN4iQWudUKNqAQHtaLc,27/12/2015 15:44:36,/capsula25
