13887,nUser,1,28/06/2008 17:37
516,Angeie,2,28/01/2012 13:26
821,Faair,3,28/07/2011 07:29
38,Misnove,4,15/02/2005 03:20
1011,JRyno,5,28/06/2008 17:37
453,SgtPepper,6,22/11/2006 16:35
513,TrassyLiv,7,15/02/2007 00:47
1037,Winler,8,19/08/2011 13:15
88,Twile,9,27/03/2008 00:12
1417,None,10,16/08/2006 22:14
1359,Sanirl,11,12/03/2012 09:13
1010,paigum,12,19/12/2007 09:26
889,Pead,13,25/07/2005 18:30
1282,Felora,14,28/10/2008 23:57
163,Sugae,15,29/04/2009 13:43
156,Whiorm,16,15/02/2005 12:39
301,Yorist,17,24/12/2008 12:25
1088,Colly,18,17/10/2008 02:12
133,Awauty,19,11/10/2009 08:48
887,Foxy,20,14/03/2007 17:05
573,Anakes,21,27/02/2011 11:31
174,zinderly,22,26/03/2010 13:15
1107,mrer,23,25/09/2011 14:15
145,Daise,24,29/01/2008 05:59
146,Sille,25,27/02/2009 02:32
